Year,State,County,HAI,Operative_Procedure,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Notes
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Hip prosthesis,,,,,39131,235,260.32,0.9,0.79,1.02,Same,
2024,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, abdominal",,,,,18817,139,148.37,0.94,0.79,1.1,Same,
2024,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, vaginal",,,,,1847,9,10.92,0.82,0.4,1.51,Same,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney surgery,,,,,7506,27,24.77,1.09,0.73,1.56,Same,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney transplant,,,,,2798,23,16.81,1.37,0.89,2.02,Same,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Knee prosthesis,,,,,44470,144,168.58,0.85,0.72,1,Same,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Laminectomy,,,,,39990,99,145.64,0.68,0.56,0.82,Better,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Liver transplant,,,,,1162,23,59.84,0.38,0.25,0.57,Better,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Open reduction of fracture,,,,,40658,296,301.74,0.98,0.87,1.1,Same,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Ovarian surgery,,,,,14875,8,11.55,0.69,0.32,1.32,Same,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Pacemaker surgery,,,,,15822,26,27.49,0.95,0.63,1.37,Same,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Rectal surgery,,,,,7245,38,127.32,0.3,0.21,0.41,Better,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Small bowel surgery,,,,,25032,470,520.22,0.9,0.83,0.99,Better,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Spinal fusion,,,,,41555,353,344.85,1.02,0.92,1.14,Same,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Spleen surgery,,,,,1759,9,10.52,0.86,0.42,1.57,Same,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Thoracic surgery,,,,,20533,70,83.9,0.83,0.66,1.05,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),All procedures,030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",1874,7,7.29,0.96,0.42,1.9,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",109,0,0.25,0,0,14.58,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",18,0,0.11,,,,,
2024,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",500,0,0.52,0,0,7.07,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",19,0,0.4,0,0,9.18,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",65,0,0.22,0,0,16.77,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",139,1,0.27,3.77,0.1,21.03,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),Gastric surgery,030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",248,0,0.85,0,0,4.35,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),Hip prosthesis,030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",127,0,0.7,0,0,5.29,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, abdominal",030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",30,1,0.21,4.76,0.12,26.53,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, vaginal",030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",7,0,0.03,,,,,
2024,California,Sacramento,Surgical Site Infections (SSI),Kidney surgery,030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",1,0,0,,,,,
2024,California,Sacramento,Surgical Site Infections (SSI),Knee prosthesis,030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",222,3,0.84,3.59,0.74,10.5,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",111,1,0.69,1.46,0.04,8.13,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),Ovarian surgery,030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",16,0,0.01,,,,,
2024,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",12,0,0.18,,,,,
2024,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",79,1,1.67,0.6,0.03,2.96,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",171,0,0.35,0,0,10.45,Same,¥ See Data Dictionary
2024,California,Amador,Surgical Site Infections (SSI),All procedures,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",258,0,1.4,0,0,2.14,Same,
2024,California,Amador,Surgical Site Infections (SSI),Appendix surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",37,0,0.11,,,,,
2024,California,Amador,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.02,,,,,
2024,California,Amador,Surgical Site Infections (SSI),Cesarean section,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",64,0,0.05,,,,,
2024,California,Amador,Surgical Site Infections (SSI),Colon surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",21,0,0.4,0,0,9.32,Same,¥ See Data Dictionary
2024,California,Amador,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",32,0,0.17,,,,,
2024,California,Amador,Surgical Site Infections (SSI),Gallbladder surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",36,0,0.1,,,,,
2024,California,Amador,Surgical Site Infections (SSI),Gastric surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.04,,,,,
2024,California,Amador,Surgical Site Infections (SSI),Hip prosthesis,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",18,0,0.09,,,,,
2024,California,Amador,Surgical Site Infections (SSI),Knee prosthesis,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0,,,,,
2024,California,Amador,Surgical Site Infections (SSI),Open reduction of fracture,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",19,0,0.1,,,,,
2024,California,Amador,Surgical Site Infections (SSI),Ovarian surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0,,,,,
2024,California,Amador,Surgical Site Infections (SSI),Rectal surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",4,0,0.05,,,,,
2024,California,Amador,Surgical Site Infections (SSI),Small bowel surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",14,0,0.25,0,0,14.88,Same,¥ See Data Dictionary
2024,California,Amador,Surgical Site Infections (SSI),Spleen surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.02,,,,,
2024,California,Amador,Surgical Site Infections (SSI),Thoracic surgery,030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0,,,,,
2024,California,Placer,Surgical Site Infections (SSI),All procedures,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",550,0,3.07,0,0,0.98,Better,
2024,California,Placer,Surgical Site Infections (SSI),Appendix surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",74,0,0.19,,,,,
2024,California,Placer,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",6,0,0.06,,,,,
2024,California,Placer,Surgical Site Infections (SSI),Colon surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",48,0,0.69,0,0,5.33,Same,¥ See Data Dictionary
2024,California,Placer,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",40,0,0.14,,,,,
2024,California,Placer,Surgical Site Infections (SSI),Gallbladder surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",67,0,0.2,0,0,18.35,Same,¥ See Data Dictionary
2024,California,Placer,Surgical Site Infections (SSI),Gastric surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",11,0,0.09,,,,,
2024,California,Placer,Surgical Site Infections (SSI),Hip prosthesis,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",72,0,0.47,0,0,7.88,Same,¥ See Data Dictionary
2024,California,Placer,Surgical Site Infections (SSI),"Hysterectomy, abdominal",030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0.05,,,,,
2024,California,Placer,Surgical Site Infections (SSI),Kidney surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",9,0,0.03,,,,,
2024,California,Placer,Surgical Site Infections (SSI),Knee prosthesis,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",110,0,0.33,0,0,11.08,Same,¥ See Data Dictionary
2024,California,Placer,Surgical Site Infections (SSI),Open reduction of fracture,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",51,0,0.24,0,0,15.31,Same,¥ See Data Dictionary
2024,California,Placer,Surgical Site Infections (SSI),Ovarian surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0,,,,,
2024,California,Placer,Surgical Site Infections (SSI),Pacemaker surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0,,,,,
2024,California,Placer,Surgical Site Infections (SSI),Rectal surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0.11,,,,,
2024,California,Placer,Surgical Site Infections (SSI),Small bowel surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",26,0,0.43,0,0,8.54,Same,¥ See Data Dictionary
2024,California,Placer,Surgical Site Infections (SSI),Thoracic surgery,030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",16,0,0.03,,,,,
2024,California,Sacramento,Surgical Site Infections (SSI),Abdominal aortic aneurysm repair,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,2,0,0.01,,,,,
2024,California,Sacramento,Surgical Site Infections (SSI),All procedures,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,7961,76,102.7,0.74,0.59,0.92,Better,
2024,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,110,0,0.97,0,0,3.8,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,83,1,3.06,0.33,0.02,1.61,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Cardiac surgery,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,102,0,0.67,0,0,5.51,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,644,1,4.78,0.21,0.01,1.03,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,374,8,18.05,0.44,0.21,0.84,Better,
2024,California,Sacramento,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,81,3,1.06,2.84,0.72,7.73,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),"Coronary bypass,chest incision only",030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,18,0,0.2,0,0,18.08,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,700,11,8.5,1.3,0.68,2.25,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,283,0,2.51,0,0,1.2,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Gastric surgery,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,165,2,2.53,0.79,0.13,2.62,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Hip prosthesis,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,466,2,5.18,0.39,0.07,1.28,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, abdominal",030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,226,4,3.76,1.06,0.34,2.57,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, vaginal",030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,15,0,0.11,,,,,
2024,California,Sacramento,Surgical Site Infections (SSI),Kidney surgery,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,424,0,1.4,0,0,2.14,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Kidney transplant,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,297,0,1.47,0,0,2.04,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Knee prosthesis,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,371,0,1.97,0,0,1.52,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Laminectomy,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,602,2,2.77,0.72,0.12,2.38,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Liver transplant,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,42,0,2.49,0,0,1.2,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,903,13,12.61,1.03,0.57,1.72,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Ovarian surgery,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,305,0,0.25,0,0,14.58,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),Pacemaker surgery,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,11,1,0.04,,,,,
2024,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,127,2,3.73,0.54,0.09,1.77,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,414,9,9.12,0.99,0.48,1.81,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Spinal fusion,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,833,15,12.94,1.16,0.67,1.87,Same,
2024,California,Sacramento,Surgical Site Infections (SSI),Spleen surgery,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,30,0,0.3,0,0,12.13,Same,¥ See Data Dictionary
2024,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,333,2,2.21,0.91,0.15,2.99,Same,
2024,California,El Dorado,Surgical Site Infections (SSI),All procedures,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",798,3,3.39,0.89,0.23,2.41,Same,
2024,California,El Dorado,Surgical Site Infections (SSI),Appendix surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",24,0,0.06,,,,,
2024,California,El Dorado,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.02,,,,,
2024,California,El Dorado,Surgical Site Infections (SSI),Cesarean section,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",66,0,0.08,,,,,
2024,California,El Dorado,Surgical Site Infections (SSI),Colon surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",20,1,0.45,2.23,0.06,12.44,Same,¥ See Data Dictionary
2024,California,El Dorado,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",36,0,0.22,0,0,16.84,Same,¥ See Data Dictionary
2024,California,El Dorado,Surgical Site Infections (SSI),Gallbladder surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",48,0,0.14,,,,,
2024,California,El Dorado,Surgical Site Infections (SSI),Gastric surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.03,,,,,
2024,California,El Dorado,Surgical Site Infections (SSI),Hip prosthesis,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",78,0,0.38,0,0,9.71,Same,¥ See Data Dictionary
2024,California,El Dorado,Surgical Site Infections (SSI),"Hysterectomy, abdominal",030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",13,0,0.09,,,,,
2024,California,El Dorado,Surgical Site Infections (SSI),"Hysterectomy, vaginal",030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0,,,,,
2024,California,El Dorado,Surgical Site Infections (SSI),Knee prosthesis,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",201,1,0.48,2.09,0.05,11.66,Same,¥ See Data Dictionary
2024,California,El Dorado,Surgical Site Infections (SSI),Laminectomy,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",26,0,0.08,,,,,
2024,California,El Dorado,Surgical Site Infections (SSI),Open reduction of fracture,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",116,1,0.69,1.46,0.04,8.13,Same,¥ See Data Dictionary
2024,California,El Dorado,Surgical Site Infections (SSI),Ovarian surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",5,0,0,,,,,
2024,California,El Dorado,Surgical Site Infections (SSI),Small bowel surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",12,0,0.24,0,0,15.63,Same,¥ See Data Dictionary
2024,California,El Dorado,Surgical Site Infections (SSI),Spinal fusion,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",143,0,0.43,0,0,8.5,Same,¥ See Data Dictionary
2024,California,El Dorado,Surgical Site Infections (SSI),Spleen surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.01,,,,,
2024,California,El Dorado,Surgical Site Infections (SSI),Thoracic surgery,030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0,,,,,
2024,California,San Joaquin,Surgical Site Infections (SSI),All procedures,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",752,5,5.24,0.95,0.35,2.11,Same,
2024,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",25,0,0.06,,,,,
2024,California,San Joaquin,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0,0,,,,,
2024,California,San Joaquin,Surgical Site Infections (SSI),Cardiac surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",68,0,0.19,,,,,
2024,California,San Joaquin,Surgical Site Infections (SSI),Colon surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",65,1,1.24,0.8,0.04,3.97,Same,
2024,California,San Joaquin,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",50,0,0.33,0,0,11.18,Same,¥ See Data Dictionary
2024,California,San Joaquin,Surgical Site Infections (SSI),"Coronary bypass,chest incision only",030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",3,0,0.02,,,,,
2024,California,San Joaquin,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",64,0,0.28,0,0,13.04,Same,¥ See Data Dictionary
2024,California,San Joaquin,Surgical Site Infections (SSI),Gallbladder surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",123,1,0.27,3.73,0.09,20.79,Same,¥ See Data Dictionary
2024,California,San Joaquin,Surgical Site Infections (SSI),Gastric surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",32,0,0.17,,,,,
2024,California,San Joaquin,Surgical Site Infections (SSI),Hip prosthesis,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",69,2,0.61,3.3,0.4,11.9,Same,¥ See Data Dictionary
2024,California,San Joaquin,Surgical Site Infections (SSI),Kidney surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",3,0,0.01,,,,,
2024,California,San Joaquin,Surgical Site Infections (SSI),Knee prosthesis,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",103,0,0.5,0,0,7.35,Same,¥ See Data Dictionary
2024,California,San Joaquin,Surgical Site Infections (SSI),Laminectomy,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",3,0,0.01,,,,,
2024,California,San Joaquin,Surgical Site Infections (SSI),Open reduction of fracture,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",40,0,0.21,0,0,17.32,Same,¥ See Data Dictionary
2024,California,San Joaquin,Surgical Site Infections (SSI),Ovarian surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0,0,,,,,
2024,California,San Joaquin,Surgical Site Infections (SSI),Pacemaker surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",18,0,0.03,,,,,
2024,California,San Joaquin,Surgical Site Infections (SSI),Small bowel surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",62,1,1.21,0.83,0.04,4.07,Same,
2024,California,San Joaquin,Surgical Site Infections (SSI),Spinal fusion,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",5,0,0.04,,,,,
2024,California,San Joaquin,Surgical Site Infections (SSI),Thoracic surgery,030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",17,0,0.04,,,,,
2024,California,San Joaquin,Surgical Site Infections (SSI),All procedures,030000118,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",297,0,1.57,0,0,1.91,Same,
2024,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,030000118,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",18,0,0.04,,,,,
2024,California,San Joaquin,Surgical Site Infections (SSI),Colon surgery,030000118,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",8,0,0.13,,,,,
2024,California,San Joaquin,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),030000118,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",66,0,0.24,0,0,15.63,Same,¥ See Data Dictionary
